1792,Meetinghouse
1793,Dwelling House
1794,Ministry Horse Barn
1795,Laundry
1797,Syrup Shop
1797,Garden Shop
1799,Cider Mill
1801,Cow Barn
1806,Carpenter's Shop
1810,Children's House
1811,Infirmary
1811,Blacksmith's Shop
1814,Sheep Barn
1816,Sisters' Shop
1817,Hog House
1819,Horse Barn
1822,Hired Mens' House
1823,Schoolhouse
1824,Enfield House
1824,Brethren's Shop
1825,Carriage House
1827,Garden Barn
1828,Bacon House
1830,Trustee's Office
1832,Office Woodshed
1834,Horse Stand
1837,Bee House
1840,Cart Shed
1841,North Shop
1848,New Ministry Shop
1850,Shed
1861,East Woodshed
1861,West Woodshed
1862,Toolshed and Granary
1868,Hen House
1877,Garden Barn Shed
1905,Creamery
1905,Pump Mill
1908,Fire House
1910,Power House
1915,Mapleview
1915,Bide-a-wee
1923,Garage
