date,event,category
1755,,
1756,,
1757,,
1758,"Ann Lee, a factory girl, joins the Quakers",The Shakers
1759,,
1760,,
1761,,
1762,Ann Lee marries Abraham Standerin,The Shakers
1763,,
1764,,
1765,,
1766,Ann Lee looses her fourth child,The Shakers
1767,,
1768,,
1769,First law for suppression of Luddism,Context
1770,Ann Lee imprisoned on charges of profaning the Sabbath,The Shakers
1771,,
1772,,
1773,,
1774,Ann Lee has a revelation and goes to New York with her 7 converts,The Shakers
1775,Outbreak of US Revolutionary War,Context
1776,Shakers withdraw into the wilderness,The Shakers
1777,,
1778,,
1779,"Shakers raise first framed house on leased land in Niskeyuna",The Shakers
1780,Believers flock to Nikeyuna. Ann Lee and others are briefly imprisoned,The Shakers
1781,Ann Lee and Shakers travel across New England as missionaries,The Shakers
1782,,
1783,Father James promulgates the principle of joint interest,The Shakers
1784,Ann Lee dies,The Shakers
1785,First meeting-house raised at New Lebanon, first Shaker pamphlet,The Shakers
1786,,
1787,Elder Meachan creates dual leadership order based on equality of the sexes,The Shakers
1788,US Constitution is ratified,Context
1789,Shaker workshops begin to thrive at New Lebanon,The Shakers
1790,Second Great Awakening,Context
1791,Family orders established by Elder Meachan and Eldress Wright,The Shakers
1792,Town of Enfield votes to give Shaker school government funding,The Shakers
1793,Shaker Millenial Church is formally organized,The Shakers
1794,Shakers start the Shaker Seed Company,The Shakers
1795,First written covenants formalize principle of joint interest,The Shakers
1796,,
1797,,
1798,Theodore Bates invents the flat broom,The Shakers
1799,,
1800,Shakers have established 11 eastern colonies,The Shakers
1801,Covenant is revised after Shaker victory in the NY Supreme Court,The Shakers
1802,,
1803,Louisiana Purchase,Context
1804,New Lebanon ministry sends missionaries to Kentucky,The Shakers
1805,Shaker covenant is revised,The Shakers
1806,First authoritative work from the Millenial Church written,The Shakers
1807,,
1808,,
1809,First western meeting-house is erected at Union Village,The Shakers
1810,"500 armed men and 1,000 citizens march on Union Village",The Shakers
1811,The Shakers build their first limestone building,The Shakers
1812,War of 1812,Context
1813,Tabitha Babbit invents the circular saw,The Shakers
1814,,
1815,Early chanting ritual begin to be formalized in chorals and hymns,The Shakers
1816,Shakers are exempt from military service,The Shakers
1817,,
1818,The Manifesto is published,The Shakers
1819,Mob violence at Union Village demands release of children,The Shakers
1820,Few witnesses remain from the early days of the order,The Shakers
1821,Signs of discontent amongst young believers in Ohio and Kentucky,The Shakers
1822,Shaker covenant is revised,The Shakers
1823,Summary View of the Millenial Church is published,The Shakers
1824,Mob violence at Union Village demanding release of children,The Shakers
1825,,
1826,,
1827,Pleasant Hill demands changes to officer selection,The Shakers
1928,Shaker covenant is revised,The Shakers
1829,"Sodus Bay covenant signed, the last successful Shaker colony",The Shakers
1830,Millenial Church fails to unify the structure of family covenants,The Shakers
1831,,
